Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
Data Scientist,$79K-$131K,4.3,Lightspeed Systems,"Austin, TX",51 - 200 ,Company - Private,Computer Hardware & Software,$25 to $50 million 
"Data Science Manager, Payment Acceptance - USA",$79K-$131K,4.0,Stripe,"San Francisco, CA",1001 - 5000 ,Company - Private,Internet,Unknown 
Data Analyst,$79K-$131K,2.6,Comprehensive Healthcare,"Yakima, WA",501 - 1000 ,Nonprofit Organization,Health Care Services & Hospitals,Unknown 
Data Scientist / Applied Mathematician,$79K-$131K,4.5,Fullpower Technologies,"Santa Cruz, CA",51 - 200 ,Company - Private,Computer Hardware & Software,$10 to $25 million 
Machine Learning Engineer,$79K-$131K,4.8,Klaviyo,"Boston, MA",201 - 500 ,Company - Private,Computer Hardware & Software,Unknown 
Data Scientist,$79K-$131K,3.9,Mars,United States,10000+ ,Company - Private,Food & Beverage Manufacturing,$10+ billion 
Patient Safety- Associate Data Scientist,$79K-$131K,4.0,AstraZeneca,"Gaithersburg, MD",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion 
Machine Learning Engineer,$79K-$131K,4.4,NuWave Solutions,"Springfield, VA",51 - 200 ,Company - Private,IT Services,$5 to $10 million 
Senior Data Scientist,$79K-$131K,4.2,ManTech,"Alexandria, VA",5001 - 10000 ,Company - Public,Research & Development,$1 to $2 billion 
(Sr.) Data Scientist -,$79K-$131K,3.6,Merrick Bank,Utah,201 - 500 ,Company - Private,Banks & Credit Unions,Unknown 
Data Scientist,$99K-$132K,3.4,Mathematica Policy Research,"Washington, DC",1001 - 5000 ,Company - Private,Consulting,$100 to $500 million 
Staff Data Scientist - Analytics,$99K-$132K,4.4,Intuit - Data,"San Diego, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$2 to $5 billion 
Data Analytics Engineer,$99K-$132K,3.5,QOMPLX,"Reston, VA",51 - 200 ,Company - Private,Enterprise Software & Network Solutions,$10 to $25 million 
"Data Scientist, Kinship - NYC/Portland",$99K-$132K,3.9,Mars,"New York, NY",10000+ ,Company - Private,Food & Beverage Manufacturing,$10+ billion 
Senior Data Scientist,$99K-$132K,3.8,GutCheck,"Denver, CO",51 - 200 ,Company - Private,Advertising & Marketing,$10 to $25 million 
Applied Technology Researcher / Data Scientist,$99K-$132K,3.5,Inter-American Development Bank,"Washington, DC",1001 - 5000 ,Other Organization,Banks & Credit Unions,$10+ billion 
Data Scientist,$99K-$132K,4.9,Avlino,New Jersey,1 - 50 ,Company - Private,Enterprise Software & Network Solutions,Less than $1 million 
Machine Learning Engineer,$99K-$132K,4.4,Stratagem Group,"Aurora, CO",1 - 50 ,Company - Private,Aerospace & Defense,Unknown 
Health Data Scientist - Biomedical/Biostats,$99K-$132K,4.1,Evidation,"Santa Barbara, CA",51 - 200 ,Company - Private,Internet,Unknown 
Senior Data Scientist,$99K-$132K,4.0,Autodesk,"San Francisco, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$2 to $5 billion 
Staff Data Scientist,$99K-$132K,4.4,Intuit - Data,"San Diego, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$2 to $5 billion 
Data Scientist,$99K-$132K,3.8,Tecolote Research,"Hill AFB, UT",501 - 1000 ,Company - Private,Aerospace & Defense,$50 to $100 million 
Sr Data Engineer (Sr BI Developer),$99K-$132K,3.2,Tivity Health,"Chandler, AZ",501 - 1000 ,Company - Public,Health Care Services & Hospitals,Unknown 
Data Engineer,$99K-$132K,2.9,hc1,"Indianapolis, IN",51 - 200 ,Company - Private,Biotech & Pharmaceuticals,$10 to $25 million 
Lead Data Scientist,$99K-$132K,4.1,HP Inc.,"San Diego, CA",10000+ ,Company - Public,Computer Hardware & Software,Unknown 
Data Scientist,$99K-$132K,3.7,SAIC,"Chantilly, VA",10000+ ,Company - Public,Enterprise Software & Network Solutions,$5 to $10 million 
RFP Data Analyst,$99K-$132K,3.2,AllianceBernstein,"Nashville, TN",1001 - 5000 ,Company - Public,Investment Banking & Asset Management,$2 to $5 billion 
Data Analyst,$99K-$132K,4.9,Big Huge Games,"Timonium, MD",51 - 200 ,Subsidiary or Business Segment,Video Games,Unknown 
